fetch date,short codes,number of likes,number of video views,number of comments
03/06/21,CKKX8B0sn7h,536792,,1982
03/06/21,CKPWo0glRNg,490940,,1319
03/06/21,CKNDhYdMKyR,281386,,1061
03/06/21,CKM7tNqHoxV,98566,391063.0,214
03/06/21,CKEy2qDni-q,79988,460913.0,337
03/06/21,CKCm2fPH_97,761882,,1300
03/06/21,CKHlfyKA2jJ,1856092,,8764
03/06/21,CKHXWsiH7yC,168148,,644
03/06/21,CKJ8dmAAOff,173868,1115638.0,728
03/06/21,CKFAjf7rM1J,116278,603277.0,468
03/06/21,CKFcAJalosM,503928,2463175.0,1370
03/06/21,CKC-Ggbnc42,900024,,3147
03/06/21,CKDL0mgA_wT,647365,,2671
03/06/21,CKHzMdDhmIF,160918,,748
03/06/21,CKFHbXysQU_,671232,,5942
03/06/21,CKFVHd-nWRR,345954,,1008
03/06/21,CJ826v4Hejh,111413,,381
03/06/21,CJ_wwrjn4y7,343322,,2314
03/06/21,CJ9MTcBp_tZ,245504,1011052.0,981
03/06/21,CKCOCq1hBKq,155262,711983.0,554
03/06/21,CJ_3ATjl7c7,519161,,1615
03/06/21,CJ9SLNYMWh5,278686,,770
03/06/21,CKAZUGAnOlt,243821,,969
03/06/21,CJ7de1QgMwd,90988,402026.0,445
03/06/21,CJ90h7GlpFm,158245,970037.0,618
03/06/21,CKALoSary4l,196151,,557
03/06/21,CJ_UZ8RHXfW,1289113,6313499.0,25036
03/06/21,CJ9f6kSl1jJ,352168,,846
03/06/21,CJyqIengu6b,397042,2146501.0,2276
03/06/21,CJ67I_0sg4m,185767,,881
03/06/21,CJ1WCOnjeXl,234949,,1086
03/06/21,CJy4IDsripr,472401,,1228
03/06/21,CJ33W_GHgET,273352,,1175
03/06/21,CJ14a9_FObg,213692,,452
03/06/21,CJ360yXgxrR,608105,,2420
03/06/21,CJtuhDxHwyL,402647,,8382
03/06/21,CJ6cKs9sLwY,498586,,1390
03/06/21,CJzTmEvFGPt,222462,,994
03/06/21,CJ2GDsqH7Tq,249585,,2713
03/06/21,CJ6tbsQspwr,400950,,2667
03/06/21,CJoeEHCs7bO,270649,,1254
03/06/21,CJrlL6ggGWx,490856,,2842
03/06/21,CJmbmXOAl7h,521221,,1809
03/06/21,CJq1GwGjfYa,224003,1071818.0,1014
03/06/21,CJpOLOvFCDS,198577,,382
03/06/21,CJrC0qwrP52,324184,1876159.0,1213
03/06/21,CJoUnoYA8BY,615415,,1722
03/06/21,CJorvXRlB0c,120022,596010.0,1148
03/06/21,CJpU-k_LCt4,1020752,,3092
03/06/21,CJquQRqh6Kk,219917,,1084
03/06/21,CJmpZzxsX7T,234401,,862
03/06/21,CJrQqrMAMMy,267192,,899
03/06/21,CJjVNUpM6sM,154030,911868.0,495
03/06/21,CJhg4alnQOo,239610,,2024
03/06/21,CJg2hWhgGU1,120426,,900
03/06/21,CJjwDm2glro,768313,,3407
03/06/21,CJj2y2ZHxbW,659444,,3903
03/06/21,CJl5PO_LBaa,282390,,1082
03/06/21,CJmHDZXH-rs,485433,,4261
03/06/21,CJjiMiZMPCo,1126232,,4961
03/06/21,CJgozrygF6j,142488,917823.0,869
03/06/21,CJgbGAAj5Kq,93027,387740.0,565
03/06/21,CJhSD6blJHW,107490,515024.0,1412
03/06/21,CJjGuBGgEg-,103184,482056.0,898
03/06/21,CJbmAErHhTD,133173,,652
03/06/21,CJcWEB9H00y,197648,,963
03/06/21,CJe67a0Aj3x,234040,,991
03/06/21,CJcBi-SnUxi,224159,,2502
03/06/21,CJZxJd2HJT2,115441,801424.0,680
03/06/21,CJeEClsBT8V,113771,585627.0,564
03/06/21,CJcj9kmgBqC,142468,,552
03/06/21,CJcPVlcLDtA,398497,,736
03/06/21,CJeRw3vsPKJ,111422,526805.0,496
03/06/21,CJZZw5zHUOz,483085,,636
03/06/21,CJgT55JgTeh,102118,481060.0,682
03/06/21,CJemUnwgFF_,337239,,871
03/06/21,CJYzjRIhB7e,692648,,3965
03/06/21,CJZIJtnrTas,109144,497493.0,694
03/06/21,CJW-5KXnY21,796033,,1009
03/06/21,CJRS5Awr56H,510284,,1815
03/06/21,CJUaBd_s_pZ,91655,498098.0,693
03/06/21,CJXNOkOnu-e,330337,,655
03/06/21,CJPQbZvsJue,547057,,4093
03/06/21,CJW0cuInAw0,164032,,591
03/06/21,CJTp_EWFVlz,671577,,1664
03/06/21,CJR8J4HljEF,452876,,1745
03/06/21,CJWchtqrdlW,65403,280856.0,288
03/06/21,CJRnfhCjZ9D,223105,,1048
03/06/21,CJHNdHhg4mC,137178,,353
03/06/21,CJJkrZint3n,148245,,493
