fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CIUJAFbBA6H,2864,,39
03/11/21,CIYtZAdlp_g,976,8300.0,37
03/11/21,CIJhQftg3nm,527,6816.0,4
03/11/21,CIRKSzQhoo5,1761,,29
03/11/21,CITr22EF2CQ,1942,,38
03/11/21,CIRgqd3hndz,2055,,35
03/11/21,CIOwIqTBOkR,5582,,87
03/11/21,CII_CUUhtBP,1537,,25
03/11/21,CILzJtLBDkd,9156,,117
03/11/21,CIRAOqfBrx3,5936,,163
03/11/21,CIMNBc7hR8n,1923,,61
03/11/21,CIHlok8o393,7242,,161
03/11/21,CIJoFRqHQp8,4835,,67
03/11/21,CIRkM84n6Ns,794,10055.0,50
03/11/21,CIEsRC7BGzA,2255,,62
03/11/21,CIGaLndhBNw,1936,,57
03/11/21,CIGn04ZJbS3,2260,,26
03/11/21,CIElXJsFtbm,1462,,19
03/11/21,CIEDL1yhKwj,2875,,28
03/11/21,CIEbAP5Bwmc,2625,,60
03/11/21,CIHRI84BNAM,3398,,52
03/11/21,CIG7-4Nhhcf,4232,,103
03/11/21,CIGkxnuBA04,3260,,46
03/11/21,CIBQsycgnHw,11647,,212
03/11/21,CICEBerBOAv,1073,,18
03/11/21,CID8ZAuBBW5,901,,12
03/11/21,CH_HLQuJ7e4,6013,,68
03/11/21,CH6axjiHoCW,1349,,102
03/11/21,CICMlYyHGHC,1526,,42
03/11/21,CH_4Qc4IYj5,1916,,49
03/11/21,CH8GlJEhSHn,524,4771.0,31
03/11/21,CH_Kmp0jwW2,1052,14801.0,47
03/11/21,CH6BBHFpQwJ,2483,,61
03/11/21,CID3AvFl1Om,2082,,30
03/11/21,CH8e8aOgYJ_,2561,28785.0,129
03/11/21,CH3mhUCFvAE,2050,,340
03/11/21,CHyPMjzgRMU,1127,14602.0,2212
03/11/21,CH1P57wBaFK,3118,,152
03/11/21,CHwTnF-In4D,4761,,122
03/11/21,CH22dJvMPnC,2520,,96
03/11/21,CH3Vz70hYa9,1912,,168
03/11/21,CH0z_lCnpTi,1411,,31
03/11/21,CHx6yMSh1zR,2322,,183
03/11/21,CH5o-8njZ3t,9446,,104
03/11/21,CHygwquhW7_,1326,,66
03/11/21,CH0ra-yhdtQ,7327,,217
03/11/21,CH0aW-OBFGd,3970,,221
03/11/21,CHtmcuZgbv2,1062,14618.0,87
03/11/21,CHwH4xsByos,1907,,39
03/11/21,CHqvS-7h7y_,3250,,133
03/11/21,CHoGlDshU55,2233,,74
03/11/21,CHsyuCsBIPe,2063,,45
03/11/21,CHp7L43hwVM,9261,123931.0,1220
03/11/21,CHvylV_hOoh,2169,,131
03/11/21,CHtGKM5BEVJ,1886,,71
03/11/21,CHvXt0DLMcK,2554,24384.0,209
03/11/21,CHjKdgSnk64,875,,90
03/11/21,CHl6s6aBYQr,3443,,71
03/11/21,CHgpoPbhBXX,6098,,112
03/11/21,CHbK6LSJqWl,1789,,95
03/11/21,CHg8640ogNV,2535,,62
03/11/21,CHgUf5yHQQh,1812,19362.0,145
03/11/21,CHdiJntB5PF,1072,,61
03/11/21,CHbEDLwB5pl,917,10738.0,41
03/11/21,CHbcRxtheIe,1961,,26
03/11/21,CHi2mRvhdM-,3443,,43
03/11/21,CHblXOuhQj5,3718,,74
03/11/21,CHiaZUKHZHY,961,11676.0,97
